node,score
5210,0.030828462486084073
5209,0.02978316736567727
8789,0.02790935837394478
7773,0.027317046497038783
57103,0.026573305380476645
5214,0.026379112353577653
5213,0.026097159416707195
5211,0.02559412824838896
3795,0.025539306660535457
2203,0.025277492790173373
5208,0.024815079030451936
2646,0.023991633692094328
83440,0.023926367215509923
4351,0.023706660476045163
5207,0.02368466576076685
226,0.023138850865120734
197258,0.023015368615111467
230,0.023006553671436784
729020,0.022695200345616853
5224,0.02264584618517092
122970,0.022593661604431835
10007,0.022522630767717093
669,0.022327167336645064
387712,0.022106902620815622
64841,0.022012115297968295
3099,0.02195747814570901
8277,0.021954062384946765
3098,0.021935142004373406
5223,0.021934726684884505
441531,0.0219347266848845
3101,0.02189399840850839
229,0.021884640880874294
7086,0.021797230305975458
84076,0.02179352453483514
6120,0.021786471428495036
80201,0.021464945736460007
6888,0.0214641561752775
9278,0.021336120430388256
57469,0.021319083825508203
26330,0.02128482841157666
5232,0.021277172048942163
10965,0.021230829035041587
2027,0.020622088705630523
2519,0.020559429673038202
51071,0.020194313279120565
92579,0.020006158681711014
64080,0.019933308548627744
641371,0.019771421241094725
5230,0.019657999493302977
57818,0.01940825809016625
7167,0.019169666278400083
5372,0.018965854130236326
129831,0.018885778842165163
22934,0.018734915414246336
2542,0.018670756141218787
2821,0.018627846499223333
2538,0.018589325909357562
2595,0.018497209351436065
2026,0.018424607371431263
2645,0.018198167981936148
132158,0.01814274531102337
2539,0.0180758738210813
5226,0.017899997136324435
9563,0.017555527628254592
51005,0.0175232401956312
2548,0.017521188938963827
25796,0.017475262056931413
284486,0.017331103973976567
11332,0.017331103973976567
130589,0.0172270335442456
55276,0.01685981989929315
282969,0.016624071690411496
3652,0.016545998039772285
11181,0.016345858480518734
132789,0.01603793481782652
9945,0.015782850919459364
93432,0.015656584185929957
2023,0.015619285057853344
3938,0.015389028471086202
2673,0.01471331238072222
5238,0.014674927569223178
9942,0.014513758311387851
80162,0.014373979314483323
414328,0.014226702521335075
8790,0.014215595098241057
7180,0.014198239467796036
5161,0.014174318873542004
7767,0.013982942282469013
26503,0.013768057478016403
9562,0.013758616441715343
6476,0.013751776542216557
6652,0.013574554390312701
5225,0.013480190197060975
10020,0.013477277194509439
8972,0.013364559336526092
5236,0.013305961504396762
5373,0.013184098691638212
26007,0.013155069808857582
221823,0.012976201693476339
5634,0.012976201693476339
5631,0.012976201693476339
117145,0.01231670573158118
91373,0.012228728735423118
55577,0.012005523327411833
276,0.011901491623743547
8226,0.011650109168572856
3948,0.011602234212240789
160287,0.011602234212240787
92483,0.011602234212240787
51181,0.011568998742310052
1527,0.011343124893407401
78992,0.011102909070109678
197257,0.010720827842344046
4199,0.01058575282686293
2517,0.010576114539001074
5239,0.010373940318056768
5636,0.010116609190431466
5635,0.010116609190431466
280,0.009959328611397304
7264,0.009936096810939517
277,0.009906603472442745
57016,0.009477456002057724
231,0.00947492152766182
5313,0.009338554254244312
