node,p_value
5213,1.1673026815465639e-08
5211,2.8147724235874593e-11
5214,6.987519315239454e-14
230,1.12414805803379e-15
226,4.543540918623267e-18
7086,3.667163733003166e-20
6888,3.3440855775215286e-22
2027,8.632375505265505e-24
2821,5.228325456310672e-26
2026,1.3159004871945402e-28
